0,119,42,49,59,173,50,147,177,122,82,C,164,28,123,68,128,192,168,C,148,182,171,87,0
0,175,105,5,90,178,7,197,48,C,4,24,136,186,170,21,176,C,94,157,184,187,34,26,0
0,196,154,85,13,96,33,106,C,158,166,133,61,44,C,116,40,51,100,23,C,84,111,3,0
0,45,107,95,152,112,153,135,129,139,C,20,174,29,146,141,77,127,67,C,9,92,32,C,0
0,149,104,189,46,58,60,72,C,98,161,89,70,15,C,64,117,65,93,114,137,109,134,C,0
0,52,126,101,27,31,194,172,C,88,66,102,125,132,C,131,62,71,17,165,199,C,2,C,0
0,180,69,140,169,99,130,35,C,78,150,121,37,38,36,195,C,75,191,190,54,11,C,C,0
0,57,156,81,151,63,14,124,C,120,144,16,55,53,C,18,80,193,118,185,163,91,C,C,0
0,30,113,188,155,74,22,12,198,47,C,86,115,103,73,6,76,C,179,41,10,56,97,C,0
0,8,138,79,145,43,183,83,C,108,110,19,143,181,159,142,C,160,39,25,162,1,167,C,0
