0,19,79,86,134,125,129,107,100,C,38,40,109,61,26,23,29,C,0
0,111,22,76,71,15,84,141,120,C,11,142,49,21,66,85,34,63,0
0,67,62,145,43,93,150,45,C,54,110,35,52,102,82,C,64,8,0
0,27,87,83,115,130,60,C,91,98,135,50,12,32,131,69,C,101,0
0,127,106,72,89,96,16,33,C,73,112,105,18,47,122,C,4,39,0
0,113,42,148,149,7,124,99,C,44,56,68,104,94,126,14,C,37,0
0,80,108,70,143,137,114,C,138,3,48,24,30,88,5,C,78,146,0
0,116,6,31,118,57,46,147,51,C,119,95,2,41,10,C,132,25,0
0,140,20,55,144,136,133,128,65,C,81,77,123,9,36,13,59,C,0
0,58,74,17,139,117,97,C,53,1,92,75,121,28,90,C,103,C,0
