0,119,42,49,59,173,50,177,48,C,78,150,121,37,195,185,C,131,65,93,193,114,26,C,0
0,175,105,5,90,178,7,197,C,158,166,61,9,92,182,C,20,174,146,141,111,137,C,191,0
0,196,154,85,13,96,33,117,C,129,86,164,115,28,139,C,116,40,23,41,97,109,C,11,0
0,45,107,95,152,112,153,135,29,C,106,64,47,36,80,163,C,51,39,32,83,134,199,C,0
0,149,104,189,46,58,60,103,72,C,120,66,172,53,132,184,67,C,179,148,76,142,168,C,0
0,52,126,101,27,31,194,102,C,147,18,122,38,82,118,C,110,62,71,17,165,3,C,C,0
0,180,69,140,169,99,130,35,C,98,108,161,89,19,70,181,C,183,73,68,6,128,54,C,0
0,57,156,81,151,63,14,124,88,C,4,24,136,186,170,21,94,176,C,157,123,192,190,C,0
0,30,113,188,155,74,22,12,160,C,144,16,125,55,187,84,127,77,56,C,143,159,2,C,0
0,8,138,79,145,43,75,15,C,198,133,44,162,1,25,171,C,100,10,34,87,91,167,C,0
