0,80,88,140,116,66,117,24,C,6,83,85,42,72,133,C,104,120,0
0,38,89,148,149,132,129,36,C,125,84,127,33,134,7,107,C,18,0
0,20,57,150,4,47,110,58,C,50,92,146,64,19,46,40,C,16,0
0,22,93,52,101,75,103,126,C,68,78,30,53,76,115,61,C,123,0
0,43,65,121,17,144,111,34,C,1,26,118,3,48,41,C,69,11,0
0,128,62,39,32,114,124,139,105,C,94,23,54,37,79,45,C,87,0
0,82,5,60,31,113,142,C,95,100,51,77,90,59,C,122,63,135,0
0,10,91,131,67,35,143,74,C,71,28,15,96,98,99,147,C,2,0
0,97,138,29,73,56,137,C,109,27,141,102,112,145,C,25,108,21,0
0,81,70,12,106,13,44,86,C,136,9,55,49,130,119,8,C,14,0
