0,19,79,86,134,125,129,73,C,124,112,92,121,28,C,120,101,63,0
0,111,22,76,71,15,84,141,51,C,3,48,30,21,135,66,36,C,0
0,67,62,145,43,93,150,44,11,C,38,18,47,100,103,132,C,37,0
0,27,87,83,115,130,64,C,107,53,1,99,122,8,78,C,85,39,0
0,127,106,72,89,96,16,147,35,C,97,142,49,32,82,14,C,13,0
0,113,42,148,149,7,60,C,46,54,52,50,12,102,45,C,10,146,0
0,80,108,70,143,137,114,105,75,69,C,119,95,65,104,9,5,25,0
0,116,6,31,118,57,40,C,33,110,109,61,26,23,C,4,29,59,0
0,140,20,55,144,136,133,128,81,68,C,77,2,123,41,126,90,C,0
0,58,74,17,139,117,91,98,C,138,56,24,94,88,131,C,34,C,0
