0,80,88,140,116,66,117,24,C,6,27,51,77,90,76,41,61,C,0
0,38,89,148,149,132,129,C,36,68,136,28,30,53,48,C,18,16,0
0,20,57,150,4,47,110,23,C,50,83,141,102,112,98,115,135,C,0
0,22,93,52,101,75,125,86,C,34,92,9,55,49,130,99,C,120,0
0,43,65,121,17,144,C,44,111,1,78,85,42,96,59,119,C,87,0
0,128,62,39,32,114,124,C,109,71,84,127,33,134,133,46,C,14,0
0,82,5,60,31,113,94,54,105,37,79,C,45,25,74,123,11,21,0
0,10,91,131,67,35,143,108,40,C,139,126,122,69,104,8,C,C,0
0,97,138,29,73,56,137,95,142,C,58,146,64,19,145,147,63,C,0
0,81,70,12,106,13,103,15,C,100,26,118,3,72,7,107,2,C,0
