0,0
127,119
161,194
39,172
17,111
68,142
85,191
0,38
25,0
168,106
96,81
37,122
2,133
35,83
91,0
0,125
26,52
165,115
32,143
155,132
159,0
147,181
61,42
139,15
0,140
10,73
23,43
120,157
5,65
146,66
100,3
0,0
41,77
20,166
57,190
69,189
94,7
78,164
33,86
14,0
0,158
199,113
45,134
114,183
152,98
13,138
18,128
59,0
0,9
177,75
56,175
169,92
174,54
95,76
126,160
84,0
0,184
124,62
136,29
102,107
197,46
198,130
53,97
0,99
116,0
173,44
64,193
28,145
117,101
16,70
0,154
88,49
110,0
180,186
103,82
21,153
0,131
196,112
163,55
6,0
89,34
50,188
195,12
0,71
1,151
123,171
182,0
141,8
93,36
31,144
121,135
104,4
0,74
80,30
51,0
24,27
105,185
60,149
170,19
187,167
0,129
22,150
72,109
40,0
176,108
63,11
0,79
67,179
137,47
118,148
48,0
90,58
178,156
87,192
0,162
0,0
