0,80,88,140,116,66,117,C,103,36,1,51,146,53,C,104,120,135,0
0,38,89,148,149,132,129,44,C,24,27,28,30,55,112,107,C,119,0
0,20,57,150,4,47,110,23,105,115,C,58,145,46,40,147,C,41,0
0,22,93,52,101,75,125,142,86,100,C,126,122,25,74,123,11,C,0
0,43,65,121,17,144,109,68,C,6,83,141,77,33,98,C,16,21,0
0,128,62,39,32,114,124,139,C,50,71,9,15,90,C,19,133,7,0
0,82,5,60,31,113,94,54,69,C,92,85,102,64,49,134,C,48,0
0,10,91,131,67,35,143,108,18,87,C,45,79,37,8,63,61,C,0
0,97,138,29,73,56,137,78,C,34,84,127,42,96,76,14,C,2,0
0,81,70,12,106,13,111,C,95,136,26,118,3,72,130,99,C,59,0
