0,61,23,18,10,74,81,36,C,21,11,19,0
0,75,43,40,1,78,62,83,66,C,52,96,0
0,22,97,45,32,6,55,C,60,68,46,31,0
0,35,93,30,47,95,91,C,5,17,13,8,0
0,69,50,92,99,20,76,77,73,C,84,37,0
0,24,33,9,100,29,85,87,79,C,54,89,0
0,28,71,90,44,70,34,88,15,65,C,59,0
0,39,86,98,4,41,27,72,56,C,42,16,0
0,57,63,38,7,14,26,82,C,51,64,80,0
0,2,94,67,53,12,49,3,C,25,58,48,0
