0,127,81,133,52,26,165,143,98,C,73,153,16,97,22,118,C,196,163,6,89,182,C,30,0
0,119,17,2,35,189,7,145,45,C,124,128,107,130,55,8,C,49,19,170,167,121,162,C,0
0,161,168,37,9,177,56,169,175,101,C,116,173,64,28,34,188,71,C,80,60,156,192,109,0
0,194,142,41,77,20,94,78,C,147,174,75,92,54,185,C,44,76,160,149,187,31,11,C,0
0,25,191,38,57,69,14,C,199,114,152,13,18,59,151,1,C,193,27,24,129,93,C,148,0
0,68,85,166,190,91,86,84,C,132,186,103,53,67,137,179,C,100,36,144,66,135,4,C,0
0,39,96,158,139,159,155,61,C,134,110,82,197,131,65,C,33,171,123,99,12,108,C,C,0
0,172,181,42,15,140,43,117,C,113,138,136,198,178,90,79,C,164,154,70,58,141,C,C,0
0,111,10,23,120,5,157,146,C,184,62,29,21,3,48,47,176,C,95,51,50,87,63,C,0
0,106,122,83,125,32,115,C,183,88,180,102,46,112,72,40,74,C,126,105,195,150,104,C,0
