0,127,81,133,52,26,165,143,98,88,C,44,76,193,160,149,101,70,187,C,22,72,40,178,0
0,119,17,2,35,189,7,49,C,61,75,175,92,54,27,24,126,80,C,66,135,30,63,C,0
0,161,168,37,9,177,56,169,C,134,110,82,29,198,130,131,55,C,86,170,129,87,176,C,0
0,194,142,41,77,20,94,C,199,45,114,18,151,1,171,89,C,196,19,167,58,104,179,C,0
0,25,191,38,57,69,14,33,C,113,138,103,102,53,97,153,6,C,95,84,121,162,79,C,0
0,68,85,166,190,91,164,154,C,184,62,128,107,46,C,78,163,50,195,31,93,192,C,C,0
0,39,96,158,139,159,155,147,174,C,173,64,117,146,100,8,65,36,C,144,4,108,47,C,0
0,172,181,42,15,140,73,43,C,116,13,28,34,188,12,71,74,C,51,60,141,109,148,C,0
0,111,10,23,120,5,157,C,183,186,180,136,197,21,67,137,C,145,185,105,150,11,C,C,0
0,106,122,83,125,32,115,132,124,C,152,59,99,123,182,156,C,16,112,3,48,118,90,C,0
