0,19,79,86,134,125,137,C,91,33,110,52,50,C,119,123,104,10,0
0,111,22,76,71,15,84,141,18,C,112,105,47,100,8,103,C,36,0
0,67,62,145,43,93,150,44,3,C,1,75,99,28,101,29,C,90,0
0,27,87,83,115,7,C,107,124,73,92,121,122,C,95,68,66,14,0
0,127,106,72,89,96,16,135,C,138,48,24,30,94,41,131,146,C,0
0,113,42,148,149,129,60,53,C,54,35,109,12,102,82,37,C,63,0
0,80,108,70,143,130,114,64,C,147,40,69,4,78,132,34,C,39,0
0,116,6,31,118,57,46,32,C,38,51,61,26,23,85,45,C,13,0
0,140,20,55,144,136,133,56,C,11,142,49,21,88,9,126,C,25,0
0,58,74,17,139,117,98,97,5,C,128,81,77,2,65,C,120,59,0
