0,119,42,49,59,173,50,C,158,12,150,121,37,82,C,131,117,65,109,137,134,91,C,167,0
0,175,105,5,90,178,7,197,C,129,86,28,35,103,128,C,102,157,67,77,171,193,114,190,0
0,196,154,85,13,96,33,108,C,147,177,18,122,38,195,C,160,39,25,1,92,185,C,192,0
0,45,107,95,152,112,153,C,135,164,115,139,174,146,C,51,100,23,10,56,111,C,76,54,0
0,149,104,189,46,58,60,72,123,C,124,4,24,136,186,170,148,C,179,182,97,118,87,C,0
0,52,126,101,27,31,194,120,C,98,161,110,19,143,15,C,62,71,17,165,3,199,163,C,0
0,180,69,140,169,99,130,183,C,88,66,144,16,125,132,141,C,70,181,159,26,11,C,C,0
0,57,156,81,151,63,14,116,C,198,133,61,44,9,162,93,C,21,41,34,32,83,168,C,0
0,30,113,188,155,74,22,78,166,40,C,20,172,53,55,187,84,184,2,C,73,68,6,C,0
0,8,138,79,145,43,75,89,C,106,64,47,36,48,80,C,94,176,127,29,191,C,142,C,0
